restaurant_name,cuisine_type,location,Title,Date,Rating,Review
Le Petit Cafe,French,Boston,Best French in Boston,2023-09-15,5,"The Croissant here is outstanding, definitely try it! Great service too."
Burger Junction,American,Chicago,Best pizza in town,2024-03-15,5,"The crust was perfectly crispy on the outside and chewy inside. Their signature pepperoni pizza had the perfect ratio of sauce to cheese, and the pepperoni curled up into little cups of deliciousness. Will definitely be back!"
Le Petit Cafe,French,Boston,Excellent wine pairings,2024-02-07,5,"Their curated wine list is designed specifically to pair with their pizzas, and the staff is knowledgeable about suggesting the perfect match. The house red with their sausage pizza is a transcendent combination."
Le Petit Cafe,French,Boston,Amazing Ratatouille,2025-01-26,5,The Ratatouille exceeded my expectations with its buttery croissant. Authentic and delicious.
Sakura Sushi Bar,Japanese,Los Angeles,Amazing Chicken Teriyaki,2023-11-19,5,The Chicken Teriyaki exceeded my expectations with its perfect rice. The staff was very friendly.
Tony's Pizzeria,Italian,New York,Disappointed with service,2024-02-20,2,"While the pizza itself was decent, we waited over an hour for delivery despite being told it would be 30 minutes. When it finally arrived, it was barely warm. The flavors were good but the experience ruined it."
Le Petit Cafe,French,Boston,Perfect ingredient distribution,2024-01-06,5,"Every bite had the perfect combination of ingredients - no barren spots, no overwhelming clumps. The toppings were distributed with such precision it almost seemed measured. The mark of true professionals!"
Le Petit Cafe,French,Boston,Excellent French food,2024-07-31,5,Amazing Beef Bourguignon! The authentic French makes it special. Exceeded all expectations.
Sakura Sushi Bar,Japanese,Los Angeles,Best Japanese in Los Angeles,2025-04-15,5,Been coming here for years and the Chicken Teriyaki never disappoints. The staff was very friendly.
Le Petit Cafe,French,Boston,Could be better,2025-01-17,3,"Their French Onion Soup is okay, not bad but not amazing either."
Spice Garden,Indian,San Francisco,Phenomenal crust,2024-03-20,5,"Whatever they do to their dough is magical - it's got that perfect combination of crispy and chewy with a slight sourdough tang. I could eat their plain crust by itself, it's that good."
Tony's Pizzeria,Italian,New York,Amazing Garlic Bread,2024-04-24,5,"Their Garlic Bread is incredible, crispy crust and perfectly prepared. Perfect for a date night."
Sakura Sushi Bar,Japanese,Los Angeles,Perfect NY-style slices,2024-01-08,5,"As a transplant from NYC, I've been searching for authentic NY-style pizza. This place nails it - thin, foldable slices with the right amount of chew and grease. Their plain cheese slice is perfection."
Burger Junction,American,Chicago,Overpriced for what you get,2024-03-01,3,"$24 for a medium pizza with just two toppings seems excessive. The ingredients were fresh and the crust was good, but nothing justified the premium price. There are better values elsewhere in town."
Le Petit Cafe,French,Boston,Exceptional sauce-making technique,2024-01-26,5,"You can tell their sauce is made with properly hand-crushed tomatoes - it has that perfect texture with small chunks rather than being completely smooth. The bright flavor suggests minimal cooking, allowing the tomato quality to shine."
Tony's Pizzeria,Italian,New York,Burnt crust ruins it,2024-03-07,2,"They claim 'char' is part of the Neapolitan experience, but there's a difference between char and burnt. The entire bottom of my pizza was black and bitter. Scraping it off meant losing half the crust."
Tony's Pizzeria,Italian,New York,Best Italian in New York,2025-08-20,5,I absolutely love their Caesar Salad - authentic Italian. A hidden gem in the neighborhood.
Sakura Sushi Bar,Japanese,Los Angeles,Perfect pepperoni placement,2024-02-17,5,"As a pepperoni perfectionist, I appreciate that they space the pepperoni so every bite gets one full piece. No bare spots or clumped areas. Shows attention to detail that elevates the whole experience."
Spice Garden,Indian,San Francisco,Bad experience,2024-05-01,1,"The Mango Lassi takes the longest to arrive, don't order it. Much better options nearby."
Sakura Sushi Bar,Japanese,Los Angeles,Excellent Japanese food,2025-03-30,5,"Best Tuna Nigiri I've had in a long time, authentic Japanese."
Burger Junction,American,Chicago,Poor service and food,2024-10-11,2,The Chicken Wings was dry burger and ruined our meal.
Spice Garden,Indian,San Francisco,Love this place!,2025-08-25,5,Amazing Chicken Tikka Masala! The perfect heat level makes it special.
Le Petit Cafe,French,Boston,Not worth it,2024-06-09,2,The Beef Bourguignon was poorly made and small portions.
Le Petit Cafe,French,Boston,Amazing Detroit-style,2024-01-10,5,"Their Detroit-style square pizza is incredible - crispy cheese edges, fluffy interior, and those corner pieces are to die for! The pepperoni cup and char perfectly. Worth the 30-minute wait."
Burger Junction,American,Chicago,Could be better,2025-07-27,3,"Avoid the Loaded Fries, it was overcooked when it arrived."
Tony's Pizzeria,Italian,New York,Excellent Italian food,2025-03-02,5,The Margherita Pizza is the best that you can have in the city! Great service too.
Burger Junction,American,Chicago,Excellent American food,2025-06-23,5,The Sweet Potato Fries exceeded my expectations with its great value.
Sakura Sushi Bar,Japanese,Los Angeles,Great Chicken Teriyaki at Sakura Sushi Bar,2023-12-17,5,Been coming here for years and the Chicken Teriyaki never disappoints.
Spice Garden,Indian,San Francisco,Fantastic Palak Paneer,2025-03-16,5,Their Palak Paneer is a must-try - fresh naan. Will definitely come back!
Tony's Pizzeria,Italian,New York,Terrible Spaghetti Carbonara,2024-07-12,1,The Spaghetti Carbonara was too salty and ruined our meal.
Sakura Sushi Bar,Japanese,Los Angeles,Fantastic Salmon Sashimi,2024-02-11,5,Their Salmon Sashimi is a must-try - clean taste.
Sakura Sushi Bar,Japanese,Los Angeles,Decent Japanese food,2024-03-23,3,Their Dragon Roll is fine for the price.
Burger Junction,American,Chicago,Tiny portion sizes,2024-01-26,2,"Their 'personal' pizza is the size of a CD. For $15, I expected something that would actually satisfy my hunger. Had to order a second one, turning a quick lunch into an expensive disappointment."
Sakura Sushi Bar,Japanese,Los Angeles,No-cheese option was all sauce,2024-03-11,2,"Ordered a cheese-free pizza for my dairy-allergic friend, but they made no adjustments - just removed the cheese and left a soggy sauce-covered bread. Good pizza without cheese requires rebalancing other elements."
Spice Garden,Indian,San Francisco,Fantastic Samosas,2024-12-30,5,The Samosas exceeded my expectations with its perfect heat level. Great service too.
Spice Garden,Indian,San Francisco,Too noisy for conversation,2024-01-30,3,The pizza was good - I especially liked their sausage and mushroom combination - but the restaurant is like an echo chamber. Couldn't hear my date across the table. Better as a takeout option.
Tony's Pizzeria,Italian,New York,Disappointed with Margherita Pizza,2024-05-28,1,Skip the Margherita Pizza - long wait and disappointing. The service was also poor.
Burger Junction,American,Chicago,Decent American food,2024-11-05,3,The Loaded Fries was decent but nothing special.
Burger Junction,American,Chicago,Incredible vodka sauce base,2024-03-19,5,"Their vodka sauce pizza with fresh mozzarella and basil is something special. The creamy, slightly spicy sauce is a perfect alternative to traditional tomato sauce. Add prosciutto for an extra flavor dimension!"
Spice Garden,Indian,San Francisco,Painfully obvious cheap ingredients,2024-02-08,2,"The pre-shredded cheese didn't melt properly, the sauce tasted like it came from a can, and the sausage had that distinctive processed flavor. At these prices, cutting corners on ingredients is inexcusable."
Le Petit Cafe,French,Boston,Stale-tasting crust,2024-01-29,2,"The crust had a stale, almost cardboard-like quality that suggests either old dough or old flour. Fresh ingredients on top couldn't compensate for the foundation being off."
Tony's Pizzeria,Italian,New York,Excellent Italian food,2024-11-06,5,I absolutely love their Garlic Bread - authentic Italian.
Le Petit Cafe,French,Boston,Best French in Boston,2024-07-04,4,Amazing Beef Bourguignon! The authentic French makes it special. Perfect for a date night.
Sakura Sushi Bar,Japanese,Los Angeles,Innovative flavor combinations,2024-03-13,5,"Their 'Avant Garde' menu section features combinations I would never have thought of but somehow work perfectly. The pear, gorgonzola, walnut, and honey pizza was a revelation of sweet, salty, and savory harmony."
Sakura Sushi Bar,Japanese,Los Angeles,Great Dragon Roll at Sakura Sushi Bar,2024-07-28,5,Perfect Dragon Roll with authentic Japanese. Highly recommend!
Burger Junction,American,Chicago,Excellent American food,2025-02-05,5,Been coming here for years and the Classic Cheeseburger never disappoints.
Le Petit Cafe,French,Boston,Not worth it,2025-07-06,2,"Regret ordering the Crème Brûlée, it was overpriced. Much better options nearby."
Le Petit Cafe,French,Boston,Perfect for picky eaters,2024-03-13,4,Their 'build your own quarter' option is genius - a large pizza divided into quadrants with different toppings. Perfect for our family where everyone wants something different. No more ordering multiple pizzas!
Burger Junction,American,Chicago,Disappointed with Fish Sandwich,2025-03-09,2,Disappointed with the Fish Sandwich - soggy fries.
Sakura Sushi Bar,Japanese,Los Angeles,Excellent Japanese food,2025-02-27,5,Perfect Tempura with fresh fish. Highly recommend!
Burger Junction,American,Chicago,Excellent American food,2024-12-08,4,The Sweet Potato Fries is the best that you can have in the city! Excellent value for money.
Sakura Sushi Bar,Japanese,Los Angeles,Avoid the Edamame,2024-10-04,2,"The Edamame was terrible, completely fishy smell."
Burger Junction,American,Chicago,Excellent customer service,2024-03-17,5,"Made a mistake on my online order and called the restaurant in a panic. They were so accommodating - halted production on the wrong pizza, made the correction, and even threw in free garlic knots for the trouble."
Le Petit Cafe,French,Boston,Love this place!,2024-07-12,5,Their Escargot is a must-try - authentic French.
Tony's Pizzeria,Italian,New York,Fantastic Caesar Salad,2025-02-27,4,"Their Caesar Salad is okay, not bad but not amazing either."
Sakura Sushi Bar,Japanese,Los Angeles,Undercooked in the middle,2024-02-12,2,"The edges of the pizza were fine, but the middle was doughy and undercooked. The toppings were sliding off the soggy center. When I mentioned it, they just said that's how their pizza is supposed to be."
Burger Junction,American,Chicago,Perfect crunch factor,2024-01-24,5,"The bottom of their crust has the perfect level of crunch - you hear it when you bite in, but it's not so hard that it hurts your mouth. Technical pizza perfection that's clearly the result of careful testing."
Tony's Pizzeria,Italian,New York,Could be better,2025-08-02,3,Their Lasagna is fine for the price.
Spice Garden,Indian,San Francisco,Amazing Butter Chicken,2025-06-06,5,Perfect Butter Chicken with authentic flavors. Highly recommend!
Tony's Pizzeria,Italian,New York,Avoid the Garlic Bread,2025-06-22,2,Their Garlic Bread was greasy and not worth the price.
Le Petit Cafe,French,Boston,Creative seasonal specials,2024-01-12,5,"Just had their spring special with asparagus, lemon ricotta, and prosciutto. The combination was bright, fresh, and perfect for the season. Love that they use local, seasonal ingredients."
Tony's Pizzeria,Italian,New York,Great Spaghetti Carbonara at Tony's Pizzeria,2024-07-05,5,Their Spaghetti Carbonara is a must-try - family recipe. A hidden gem in the neighborhood.
Spice Garden,Indian,San Francisco,Fantastic Chicken Tikka Masala,2024-11-22,4,"The Chicken Tikka Masala here is outstanding, definitely try it! Authentic and delicious."
Tony's Pizzeria,Italian,New York,Great Caesar Salad at Tony's Pizzeria,2023-09-02,5,"Best Caesar Salad I've had in a long time, authentic Italian."
Le Petit Cafe,French,Boston,Okay experience,2024-05-01,3,"The Coq au Vin was average, I've had better elsewhere."
Le Petit Cafe,French,Boston,Great Croque Monsieur at Le Petit Cafe,2024-06-18,5,The Croque Monsieur is the best that you can have in the city!
Le Petit Cafe,French,Boston,Bad experience,2023-12-10,2,Skip the Coq au Vin - pretentious and disappointing.
Burger Junction,American,Chicago,Fantastic Chicken Wings,2024-03-27,4,Been coming here for years and the Chicken Wings never disappoints.
Burger Junction,American,Chicago,Lackluster veggie options,2024-02-19,3,"Their vegetable toppings lacked freshness and flavor - the mushrooms were clearly canned, the peppers were soft and faded, and the onions were sparse. Disappointing for a place that advertises farm-fresh ingredients."
Tony's Pizzeria,Italian,New York,Weird aftertaste,2024-03-01,2,"Everything seemed fine at first bite, but there was a strange metallic aftertaste that became more pronounced as I continued eating. Not sure if it was the sauce or something in their water for the dough."
Sakura Sushi Bar,Japanese,Los Angeles,Amazing Edamame,2024-09-26,5,Been coming here for years and the Edamame never disappoints.
Sakura Sushi Bar,Japanese,Los Angeles,Perfect for big groups,2024-01-23,5,"We had a party of 12 and they accommodated us perfectly. Their 20-inch shareable pizzas are great for groups, and they were happy to do half-and-half toppings to please everyone. Service was impressively coordinated."
Sakura Sushi Bar,Japanese,Los Angeles,Fantastic Miso Soup,2025-06-28,5,The Miso Soup is the best that you can have in the city!
Burger Junction,American,Chicago,Love this place!,2024-05-11,4,"Fair Onion Rings, nothing to write home about."
Sakura Sushi Bar,Japanese,Los Angeles,Great Miso Soup at Sakura Sushi Bar,2025-04-03,4,The Miso Soup met expectations but didn't exceed them.
Le Petit Cafe,French,Boston,Fantastic Coq au Vin,2025-03-23,5,"Their Coq au Vin is incredible, elegant presentation and perfectly prepared. Authentic and delicious."
Sakura Sushi Bar,Japanese,Los Angeles,Best Japanese in Los Angeles,2023-11-15,5,Been coming here for years and the California Roll never disappoints.
Le Petit Cafe,French,Boston,Excellent French food,2024-03-21,5,Perfect Crème Brûlée with rich flavors. Highly recommend!
Sakura Sushi Bar,Japanese,Los Angeles,Excellent Japanese food,2023-11-03,5,Perfect Tempura with beautiful presentation. Highly recommend!
Sakura Sushi Bar,Japanese,Los Angeles,Not worth it,2025-06-07,1,Skip the Dragon Roll - slow service and disappointing. Not worth the hype.
Spice Garden,Indian,San Francisco,Not worth it,2023-09-17,1,"The Butter Chicken was terrible, completely tough meat."
Spice Garden,Indian,San Francisco,Amazing Butter Chicken,2025-03-09,5,The Butter Chicken exceeded my expectations with its perfect heat level.
Burger Junction,American,Chicago,Excellent American food,2025-01-21,5,The BBQ Bacon Burger is the best that you can have in the city!
Sakura Sushi Bar,Japanese,Los Angeles,Excellent Japanese food,2025-02-12,5,Been coming here for years and the Tuna Nigiri never disappoints. Will definitely come back!
Sakura Sushi Bar,Japanese,Los Angeles,Toppings slide right off,2024-02-11,2,The ratio of sauce to cheese was so off that all the toppings slid off with the first bite. Ended up eating what was essentially dough with sauce while the cheese and toppings formed a pile on my plate.
Burger Junction,American,Chicago,Burned mouth on first bite,2024-02-20,2,"They served the pizza dangerously hot - barely out of the oven with no time to cool. Severely burned the roof of my mouth on the first bite, which ruined the rest of the meal and my next few days."
Sakura Sushi Bar,Japanese,Los Angeles,Excellent Japanese food,2024-02-28,5,"The Chicken Teriyaki here is outstanding, definitely try it!"
Tony's Pizzeria,Italian,New York,Poor service and food,2024-01-19,2,The Margherita Pizza was greasy and ruined our meal.
Spice Garden,Indian,San Francisco,Average Mango Lassi,2024-12-09,3,"Fair Mango Lassi, nothing to write home about."
Tony's Pizzeria,Italian,New York,Terrible Lasagna,2025-03-23,1,"Regret ordering the Lasagna, it was burnt edges."
Tony's Pizzeria,Italian,New York,Excessive grease pooling,2024-01-22,2,"Had to continuously blot the pizza with napkins as pools of orange grease formed on top of the cheese with every passing minute. By the end, the napkins were completely saturated and transparent. Felt unhealthy even by pizza standards."
Tony's Pizzeria,Italian,New York,Great Caesar Salad at Tony's Pizzeria,2025-08-26,4,"The Caesar Salad was average, I've had better elsewhere."
Sakura Sushi Bar,Japanese,Los Angeles,Tough leathery crust,2024-02-04,2,"The crust was so tough I almost couldn't bite through it - like trying to eat leather. The edges were particularly problematic, had to tear pieces off with significant effort. Completely lacks the pleasant chewiness good pizza should have."
Sakura Sushi Bar,Japanese,Los Angeles,Cold center burnt edges,2024-01-22,2,The pizza looked beautiful but had serious temperature issues - edges were burnt while the center was barely warm with undermelted cheese. Clear sign of an oven that's not properly calibrated or monitored.
Tony's Pizzeria,Italian,New York,Excellent Italian food,2025-06-06,5,"The Garlic Bread here is outstanding, definitely try it!"
Le Petit Cafe,French,Boston,Doughy and undercooked,2024-01-21,2,"The crust was still doughy and pale. When I mentioned it, they said that's their style, but it just seemed undercooked. The toppings were sliding off because there was no structure to hold them."
Spice Garden,Indian,San Francisco,Amazing Tandoori Chicken,2025-05-26,4,Solid Tandoori Chicken but the atmosphere could be better.
Tony's Pizzeria,Italian,New York,Great Spaghetti Carbonara at Tony's Pizzeria,2024-10-14,5,"The Spaghetti Carbonara here is outstanding, definitely try it!"
Le Petit Cafe,French,Boston,Love this place!,2023-11-17,4,"Their Ratatouille is incredible, romantic atmosphere and perfectly prepared."
Tony's Pizzeria,Italian,New York,Best Italian in New York,2025-07-02,5,Amazing Caesar Salad! The wood-fired oven makes it special.
Spice Garden,Indian,San Francisco,Amazing Samosas,2025-02-02,4,Been coming here for years and the Samosas never disappoints.
Burger Junction,American,Chicago,Fantastic Chicken Wings,2024-10-14,5,Their Chicken Wings is a must-try - great value.
Burger Junction,American,Chicago,Fantastic Fish Sandwich,2025-07-08,5,Been coming here for years and the Fish Sandwich never disappoints.
Le Petit Cafe,French,Boston,Perfect for large parties,2024-03-14,5,"Their party package is fantastic - multiple 18-inch pizzas with varied toppings, plenty of sides, and they were accommodating with our group of 20. Everything arrived hot and on time, and they included all the necessary paper goods."
Spice Garden,Indian,San Francisco,Mixed feelings,2025-01-28,3,"The Chicken Tikka Masala takes the longest to arrive, don't order it."
Burger Junction,American,Chicago,Innovative toppings,2024-03-16,5,"Their 'Experimental' menu section is amazing. Just tried one with maple-glazed brussels sprouts, pancetta, and smoked gouda - sounds weird but it was incredible. They're not afraid to take risks."
Sakura Sushi Bar,Japanese,Los Angeles,Fair Chicken Teriyaki,2024-01-21,3,Their Chicken Teriyaki is fine for the price.
Tony's Pizzeria,Italian,New York,Fair Margherita Pizza,2024-01-12,3,"The Margherita Pizza was average, I've had better elsewhere."
Spice Garden,Indian,San Francisco,Sloppy presentation,2024-01-13,3,"The pizza looked like it had been assembled in a hurry - toppings haphazardly thrown on, cheese unevenly distributed, and the cutting was so uneven that some slices were twice the size of others. Taste was okay, but appearance matters too."
Spice Garden,Indian,San Francisco,Perfect niche for Roman-style pizza,2024-02-25,5,"Their Roman-style pizza al taglio (rectangular, with a focaccia-like base) is a welcome alternative to the usual round pies. The airy, light crust holds up wonderfully to the creative topping combinations. A distinctive option in a crowded pizza market."
Le Petit Cafe,French,Boston,Fantastic Ratatouille,2025-08-25,4,"Best Ratatouille I've had in a long time, buttery croissant."
Spice Garden,Indian,San Francisco,Tasteless cheese substitute,2024-03-01,2,"Their vegan cheese option was terrible - had no meltability, a grainy texture, and tasted strongly of coconut which clashed with the tomato sauce. If you can't do vegan cheese well, better to offer cheese-free options that are properly balanced."
Burger Junction,American,Chicago,Mixed feelings,2024-07-14,3,"Regret ordering the Loaded Fries, it was overcooked. Save your money and go elsewhere."
Le Petit Cafe,French,Boston,Great gluten-free option,2024-02-15,4,"As someone with celiac disease, finding good gluten-free pizza is a challenge. Their cauliflower crust was one of the best I've had - doesn't fall apart and has a nice flavor. Toppings were generous too."
Sakura Sushi Bar,Japanese,Los Angeles,Amazing Dragon Roll,2024-02-03,4,Their Dragon Roll is fine for the price.
Le Petit Cafe,French,Boston,Amazing Beef Bourguignon,2025-08-14,4,"The Beef Bourguignon here is outstanding, definitely try it!"
Sakura Sushi Bar,Japanese,Los Angeles,Masterclass in proper baking,2024-01-10,5,"Watching the pizzaiolo work the oven is like watching an artist - constantly rotating pizzas, adjusting their position based on hot spots, and pulling each one at precisely the right moment. This attention to the baking process makes all the difference."
Spice Garden,Indian,San Francisco,Poor service and food,2024-04-21,1,"Regret ordering the Tandoori Chicken, it was tough meat. Won't be returning."
Le Petit Cafe,French,Boston,Love this place!,2025-04-25,5,Their Beef Bourguignon is a must-try - romantic atmosphere.
Tony's Pizzeria,Italian,New York,Perfect buffalo mozzarella application,2024-03-20,5,They understand that buffalo mozzarella shouldn't be cooked too long or it loses its distinctive texture and flavor. Applied in dollops after the pizza is mostly baked so it just barely melts while maintaining its creamy integrity. Technical perfection!
Burger Junction,American,Chicago,Excellent American food,2025-06-19,5,The Sweet Potato Fries is the best that you can have in the city!
Tony's Pizzeria,Italian,New York,Way too much crust,2024-03-16,2,The edge crust (cornicione) was comically large - almost half of each slice was just bread with no toppings. This ratio of crust to actual pizza was way off and made for a disappointing experience.
Tony's Pizzeria,Italian,New York,Best Italian in New York,2024-02-29,5,Amazing Garlic Bread! The wood-fired oven makes it special.
Tony's Pizzeria,Italian,New York,False advertising on size,2024-03-12,2,"Their menu clearly states that a large pizza is 16 inches, but what we received couldn't have been more than 14 inches. When questioned, they claimed their menu was outdated but refused any adjustment."
Sakura Sushi Bar,Japanese,Los Angeles,Best Japanese in Los Angeles,2024-04-08,5,"Their Salmon Sashimi is incredible, perfect rice and perfectly prepared."
Spice Garden,Indian,San Francisco,Best Hawaiian in the city,2024-02-25,5,"I know Hawaiian pizza is controversial, but if you're a fan, you must try theirs. They use fresh pineapple (not canned) and house-cured ham that's sliced thick. The sweet and salty balance is perfect."
Spice Garden,Indian,San Francisco,Amazing Samosas,2024-06-30,4,"The Samosas here is outstanding, definitely try it!"
Spice Garden,Indian,San Francisco,Best Indian in San Francisco,2024-08-07,5,The Palak Paneer is the best that you can have in the city!
Sakura Sushi Bar,Japanese,Los Angeles,Average Tuna Nigiri,2024-08-18,3,"Avoid the Tuna Nigiri, it was slow service when it arrived."
Le Petit Cafe,French,Boston,Perfect for watching sports,2024-02-27,4,"Great setup with TVs visible from every table, excellent pitcher specials during games, and their 'Game Day' pizza loaded with multiple meats and jalapeños is the perfect sports-watching food. Atmosphere gets lively but not obnoxious."
Burger Junction,American,Chicago,Amazing BBQ Bacon Burger,2024-07-02,4,Amazing BBQ Bacon Burger! The classic American makes it special.
Sakura Sushi Bar,Japanese,Los Angeles,Disappointed with Edamame,2024-09-16,2,"Don't waste your money on the Edamame, it's expensive."
Burger Junction,American,Chicago,Fair Sweet Potato Fries,2023-09-29,3,"Fair Sweet Potato Fries, nothing to write home about."
Tony's Pizzeria,Italian,New York,Perfectly crispy crust,2024-02-24,5,"However they achieve it, their crust has the perfect crispness all the way through - no soggy middle! Even the slices with lots of toppings maintain their structural integrity. Engineering marvel of pizza."
Spice Garden,Indian,San Francisco,Love this place!,2023-11-06,5,Been coming here for years and the Butter Chicken never disappoints. A hidden gem in the neighborhood.
Spice Garden,Indian,San Francisco,Excellent Indian food,2023-12-26,4,I absolutely love their Butter Chicken - authentic flavors. Authentic and delicious.
Le Petit Cafe,French,Boston,Great Croissant at Le Petit Cafe,2024-03-19,5,"Best Croissant I've had in a long time, rich flavors."
Burger Junction,American,Chicago,Amazing Onion Rings,2025-05-24,4,"The Onion Rings here is outstanding, definitely try it! A hidden gem in the neighborhood."
Spice Garden,Indian,San Francisco,Too thin to be satisfying,2024-01-25,3,"Their ultra-thin crust might appeal to some, but it was too insubstantial to be satisfying. Felt like I was eating toppings on a cracker rather than a proper pizza. Left still feeling hungry."
Sakura Sushi Bar,Japanese,Los Angeles,Outstanding wood-fired perfection,2024-01-04,5,The wood-fired oven gives their pizza a distinctive smoky complexity you can't get any other way. The slight char adds bitterness that balances the sweetness of the sauce perfectly. Worth seeking out for this unique flavor profile.
Le Petit Cafe,French,Boston,Love this place!,2024-08-06,4,I absolutely love their Escargot - buttery croissant. Authentic and delicious.
Tony's Pizzeria,Italian,New York,Bad experience,2024-02-10,1,The Margherita Pizza was too salty and ruined our meal. Very disappointing experience.
Sakura Sushi Bar,Japanese,Los Angeles,Perfect temperature every time,2024-03-15,5,"However they do it, their pizza always arrives at the perfect temperature - hot enough that the cheese is still stretchy but not so hot that it burns your mouth. Consistently excellent, even on busy nights."
Tony's Pizzeria,Italian,New York,Not worth it,2023-12-31,1,"The Spaghetti Carbonara was terrible, completely long wait."
Tony's Pizzeria,Italian,New York,Amazing Lasagna,2025-01-18,4,Been coming here for years and the Lasagna never disappoints. Great service too.
Le Petit Cafe,French,Boston,Excellent Chicago deep dish,2024-02-23,5,"Hard to find authentic Chicago-style pizza in this area, but they nail it. The buttery, flaky crust, the layering of cheese under the sauce, the chunky tomato topping - all perfect. Worth the 45-minute cook time."
Sakura Sushi Bar,Japanese,Los Angeles,Hidden gem for vegans,2024-02-28,5,"I can't believe how good their vegan pizza is! They make their own cashew cheese that actually melts properly, and their vegetable toppings are always fresh and seasonal. Even my non-vegan friends love it."
Le Petit Cafe,French,Boston,Excellent French food,2024-02-19,5,I absolutely love their Croissant - authentic French.
Spice Garden,Indian,San Francisco,Average Chicken Tikka Masala,2025-02-23,3,"Their Chicken Tikka Masala is okay, not bad but not amazing either."
Spice Garden,Indian,San Francisco,Excellent Indian food,2023-10-05,4,"Their Tandoori Chicken is okay, not bad but not amazing either."
Tony's Pizzeria,Italian,New York,Poor service and food,2024-05-03,2,"Don't waste your money on the Lasagna, it's cold when delivered."
Spice Garden,Indian,San Francisco,Avoid the Butter Chicken,2024-07-22,2,The Butter Chicken was cold food and ruined our meal. Very disappointing experience.
Spice Garden,Indian,San Francisco,Great Palak Paneer at Spice Garden,2025-07-22,4,Solid Palak Paneer but the atmosphere could be better.
Le Petit Cafe,French,Boston,Love this place!,2024-11-07,4,I absolutely love their Coq au Vin - romantic atmosphere. Excellent value for money.
Spice Garden,Indian,San Francisco,Okay experience,2024-08-28,3,"Don't waste your money on the Chicken Tikka Masala, it's bland."
Burger Junction,American,Chicago,Ideal char-to-chew ratio,2024-03-03,5,The small charred bubbles on the crust add amazing flavor without dominating. They've mastered that balance between the slight bitterness of char and the natural sweetness of the dough. Technical perfection!
Le Petit Cafe,French,Boston,Too much salt in the dough,2024-02-10,2,The crust was so salty it was almost inedible - overwhelmed all the other flavors and left me incredibly thirsty afterward. A heavy hand with salt ruined what could have been a good pizza.
Burger Junction,American,Chicago,Dirty restaurant,2024-01-20,1,"I was shocked at the state of this place. Tables were sticky, floors were dirty, and I could see into the kitchen which didn't look any better. Couldn't enjoy my pizza as I was too concerned about hygiene standards."
Burger Junction,American,Chicago,Fantastic Fish Sandwich,2025-05-04,5,Been coming here for years and the Fish Sandwich never disappoints.
Burger Junction,American,Chicago,Love this place!,2024-09-06,5,Perfect BBQ Bacon Burger with classic American. Highly recommend!
Tony's Pizzeria,Italian,New York,Great Tiramisu at Tony's Pizzeria,2025-05-14,5,"Their Tiramisu is incredible, crispy crust and perfectly prepared."
Burger Junction,American,Chicago,Love this place!,2024-11-13,5,"Best Chocolate Shake I've had in a long time, thick shake. Authentic and delicious."
Tony's Pizzeria,Italian,New York,Perfect balance of herbs in the sauce,2024-01-02,5,"Their sauce has a complex herb profile that evolves as you eat - initial notes of basil give way to oregano, with subtle garlic and a hint of fennel in the finish. Clearly made by someone who understands flavor development."
Burger Junction,American,Chicago,Great Fish Sandwich at Burger Junction,2025-06-08,5,The Fish Sandwich is the best that you can have in the city!
Sakura Sushi Bar,Japanese,Los Angeles,Excellent Japanese food,2024-08-20,5,I absolutely love their Tempura - authentic Japanese.
Burger Junction,American,Chicago,Fantastic Sweet Potato Fries,2024-11-30,5,I absolutely love their Sweet Potato Fries - great value.
Sakura Sushi Bar,Japanese,Los Angeles,Skimpy on toppings,2024-01-18,3,"The quality of ingredients is good, but they're incredibly stingy with toppings. Counted just 10 pepperoni slices on a 14-inch pizza. For the price they charge, this feels like a rip-off."
Burger Junction,American,Chicago,Best American in Chicago,2024-01-29,4,The Onion Rings is the best that you can have in the city!
Burger Junction,American,Chicago,Pizza arrived upside-down,2024-03-06,1,Delivery driver must have taken a sharp turn because our pizza arrived completely flipped over in the box - all toppings stuck to the lid. Restaurant offered no solution other than suggesting we 'scrape it off and reassemble it.'
Sakura Sushi Bar,Japanese,Los Angeles,Too much sauce,2024-03-08,3,"The ingredients seemed high quality, but they absolutely drown their pizzas in sauce. My crust was soggy in minutes, and all I could taste was tomato. Asked for light sauce on a second pizza and it was much better."
Sakura Sushi Bar,Japanese,Los Angeles,Great Salmon Sashimi at Sakura Sushi Bar,2024-11-16,5,The Salmon Sashimi is the best that you can have in the city! Great service too.
Spice Garden,Indian,San Francisco,Outstanding variety of options,2024-01-07,5,"Their menu has something for everyone - traditional options done well, creative specialties, and customizable choices. Even have dessert pizzas that are surprisingly good (try the Nutella and banana!)."
Burger Junction,American,Chicago,Too greasy to enjoy,2024-03-09,2,"Had to literally blot my pizza with napkins, which came away completely saturated with grease. Whatever flavor might have been there was drowned in oil. Couldn't finish it as it was making me feel ill."
Tony's Pizzeria,Italian,New York,Excellent beer pairing suggestions,2024-02-27,5,"Not only is their pizza excellent (try the fig and prosciutto!), but the staff is knowledgeable about their craft beer selection and can suggest the perfect pairing for whatever pizza you order."
Spice Garden,Indian,San Francisco,Love this place!,2025-06-19,5,The Naan Bread is the best that you can have in the city! Perfect for a date night.
